article_id,prod_name,product_type_name,product_group_name,perceived_colour_value_name,perceived_colour_master_name,department_name,section_name,detail_desc,text_to_embed,image_url
0624657001,SEED LS POLO,Polo shirt,Garment Upper body,Dark,Black,Knitwear,Contemporary Smart,Long-sleeved jumper in fine-knit cotton with a ribbed collar and button placket.,SEED LS POLO Polo shirt Garment Upper body Solid Black Dark Black Knitwear Menswear Menswear Contemporary Smart Knitwear Long-sleeved jumper in fine-knit cotton with a ribbed collar and button placket.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/062/0624657001.jpg
0742083002,Wakkiki strap dress,Dress,Garment Full body,Dark,Black,Dresses,Divided Collection,Short V-neck dress in a viscose weave with narrow shoulder straps and buttons down the front. Unlined.,Wakkiki strap dress Dress Garment Full body Solid Black Dark Black Dresses Divided Divided Divided Collection Dresses Ladies Short V-neck dress in a viscose weave with narrow shoulder straps and buttons down the front. Unlined.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/074/0742083002.jpg
0728197001,Taco,Dress,Garment Full body,Dusty Light,Beige,Dress,Womens Everyday Collection,"Short, wide dress in airy, patterned chiffon with a small stand-up collar and an opening with ties at the front. Long sleeves with narrow, buttoned cuffs, a seam at the hips and a gently flared skirt. Jersey underdress with adjustable shoulder straps.","Taco Dress Garment Full body All over pattern Light Beige Dusty Light Beige Dress Ladieswear Ladieswear Womens Everyday Collection Dresses Ladies Short, wide dress in airy, patterned chiffon with a small stand-up collar and an opening with ties at the front. Long sleeves with narrow, buttoned cuffs, a seam at the hips and a gently flared skirt. Jersey underdress with adjustable shoulder straps.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/072/0728197001.jpg
0678063002,Cherry dress w,Dress,Garment Full body,Medium,Yellow,Dresses,Divided Collection,"Dress in a patterned viscose weave with a V-neck and sewn-in wrapover with a concealed press-stud at the front. 3/4-length sleeves with slits at the cuffs, and an elasticated seam at the waist. Unlined.","Cherry dress w Dress Garment Full body All over pattern Yellow Medium Yellow Dresses Divided Divided Divided Collection Dresses Ladies Dress in a patterned viscose weave with a V-neck and sewn-in wrapover with a concealed press-stud at the front. 3/4-length sleeves with slits at the cuffs, and an elasticated seam at the waist. Unlined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/067/0678063002.jpg
0597782004,Jenny dress W,Dress,Garment Full body,Dark,Black,Dresses,Divided Collection,"Short dress in a soft patterned weave with a lace trim around the neckline and opening with twisted ties at the top. Wide, 3/4-length sleeves and a smocked seam at the waist. Unlined.","Jenny dress W Dress Garment Full body All over pattern Black Dark Black Dresses Divided Divided Divided Collection Dresses Ladies Short dress in a soft patterned weave with a lace trim around the neckline and opening with twisted ties at the top. Wide, 3/4-length sleeves and a smocked seam at the waist. Unlined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/059/0597782004.jpg
0648939002,Polly jumpsuit,Jumpsuit/Playsuit,Garment Full body,Medium,Red,Dresses,Divided Collection,"Playsuit in soft cotton jersey with an opening and button at the back of the neck and a seam and drawstring at the waist. Short sleeves, side pockets and short, wide legs.","Polly jumpsuit Jumpsuit/Playsuit Garment Full body Stripe Red Medium Red Dresses Divided Divided Divided Collection Dresses Ladies Playsuit in soft cotton jersey with an opening and button at the back of the neck and a seam and drawstring at the waist. Short sleeves, side pockets and short, wide legs.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/064/0648939002.jpg
0663566003,Dawn deco,Dress,Garment Full body,Dusty Light,White,Dress,Womens Tailoring,Long-sleeved dress in woven fabric with a zip at the back and decorative sparkly stone detailing at the cuffs. Unlined.,Dawn deco Dress Garment Full body Solid Off White Dusty Light White Dress Ladieswear Ladieswear Womens Tailoring Dresses Ladies Long-sleeved dress in woven fabric with a zip at the back and decorative sparkly stone detailing at the cuffs. Unlined.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/066/0663566003.jpg
0710877001,Heath slim chinos,Trousers,Garment Lower body,Dark,Black,Trouser,Contemporary Casual,"Chinos in washed cotton twill with a zip fly, side pockets and welt back pockets. Slim fit which is relaxed over the thighs and tapers from the knees down for a relaxed, well-tailored look.","Heath slim chinos Trousers Garment Lower body Solid Black Dark Black Trouser Menswear Menswear Contemporary Casual Trousers Chinos in washed cotton twill with a zip fly, side pockets and welt back pockets. Slim fit which is relaxed over the thighs and tapers from the knees down for a relaxed, well-tailored look.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/071/0710877001.jpg
0663634001,Thyme,Dress,Garment Full body,Dark,Black,Dress,Womens Tailoring,"Knee-length dress in jersey with contrasting colour panels and a cut-out V-neck. Cap sleeves, a concealed zip in one side, a seam at the waist and a flared skirt.","Thyme Dress Garment Full body Colour blocking Black Dark Black Dress Ladieswear Ladieswear Womens Tailoring Dresses Ladies Knee-length dress in jersey with contrasting colour panels and a cut-out V-neck. Cap sleeves, a concealed zip in one side, a seam at the waist and a flared skirt.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/066/0663634001.jpg
0702472002,Dallas PU TRS,Trousers,Garment Lower body,Dark,Black,Trousers,Divided Collection,"Trousers in imitation leather with a regular waist, zip fly and button, fake front pockets, real back pockets and slim legs.","Dallas PU TRS Trousers Garment Lower body Solid Black Dark Black Trousers Divided Divided Divided Collection Trousers Trousers in imitation leather with a regular waist, zip fly and button, fake front pockets, real back pockets and slim legs.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/070/0702472002.jpg
0741430003,Petite Ibiza Vis TRS,Trousers,Garment Lower body,Dusty Light,Beige,Trousers,Divided Collection,"Trousers in an airy viscose weave with an elasticated waist, side pockets and straight, wide legs.","Petite Ibiza Vis TRS Trousers Garment Lower body All over pattern Light Beige Dusty Light Beige Trousers Divided Divided Divided Collection Trousers Trousers in an airy viscose weave with an elasticated waist, side pockets and straight, wide legs.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/074/0741430003.jpg
0527487001,Selma dress,Dress,Garment Full body,Light,White,Dresses,Divided Collection,"Short, fitted dress in stretch jersey made from a viscose blend with long sleeves. Unlined.","Selma dress Dress Garment Full body Jacquard White Light White Dresses Divided Divided Divided Collection Dresses Ladies Short, fitted dress in stretch jersey made from a viscose blend with long sleeves. Unlined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/052/0527487001.jpg
0714718002,Palm dress,Dress,Garment Full body,Dark,Black,Dresses,Divided Collection,"Short, flounced dress in soft, woven viscose with a wrapover front, long-sleeves, a seam at the waist and a tie at the side. Unlined.","Palm dress Dress Garment Full body All over pattern Black Dark Black Dresses Divided Divided Divided Collection Dresses Ladies Short, flounced dress in soft, woven viscose with a wrapover front, long-sleeves, a seam at the waist and a tie at the side. Unlined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/071/0714718002.jpg
0534122001,Bon,Trousers,Garment Lower body,Dark,Black,Trouser,Womens Tailoring,"Wide trousers in a twill weave with a high waist, pockets in the side seams, a fake back pocket and creases. Soft belt with a covered metal buckle at the waist.","Bon Trousers Garment Lower body Solid Black Dark Black Trouser Ladieswear Ladieswear Womens Tailoring Trousers Wide trousers in a twill weave with a high waist, pockets in the side seams, a fake back pocket and creases. Soft belt with a covered metal buckle at the waist.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/053/0534122001.jpg
0673901008,Jade Denim Petite Trs 1,Trousers,Garment Lower body,Medium,Blue,Trousers,Divided Collection,"High-waisted jeans in washed superstretch denim with a zip fly and button, fake front pockets, real back pockets and skinny legs.","Jade Denim Petite Trs 1 Trousers Garment Lower body Solid Dark Blue Medium Blue Trousers Divided Divided Divided Collection Trousers High-waisted jeans in washed superstretch denim with a zip fly and button, fake front pockets, real back pockets and skinny legs.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/067/0673901008.jpg
0702762006,Lily dress,Dress,Garment Full body,Light,White,Dresses,Divided Collection,"Short dress in a softly draping viscose weave. Opening with a covered button at the back of the neck, an elasticated seam at the waist and 3/4-length sleeves with a slit at the cuffs. Unlined.","Lily dress Dress Garment Full body Solid White Light White Dresses Divided Divided Divided Collection Dresses Ladies Short dress in a softly draping viscose weave. Opening with a covered button at the back of the neck, an elasticated seam at the waist and 3/4-length sleeves with a slit at the cuffs. Unlined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/070/0702762006.jpg
